listing_id,source_platform,source_url,captured_at,raw_title,raw_description,MSRP_price,original_price,listed_price,stated_condition,seller_reputation,image_urls,notes
L001,Vestiaire Collective,https://www.vestiairecollective.com/women-clothing/skirts/courreges/white-cotton-courreges-skirt-68783323.shtml,2026-09-04,Courreges Coated Cotton Mini Skirt in White,"Courreges Coated Cotton Mini Skirt in White. Features a mid rise. Button and zipper fastening. Courreges logo embroidered at the hip. Coated cotton exterior. Cupro lining. Straight hem. This item has been inspected and authenticated by Vestiaire Collective Experts and is ready to ship. Never worn, with tag. Size 34 FR. Measurements; Waist 13in, Hips 17in, Length 14in. Composition; 88% Cotton, 10% Polyurethane, 2% Elastane. Lining: 100% Cupro. Made in Portugal.",,252.00,239.00,"Never worn, with tag",Expert Seller,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-cotton-courreges-skirt-68783323-1_1.jpg|https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-cotton-courreges-skirt-68783323-2_1.jpg|https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-cotton-courreges-skirt-68783323-3_1.jpg",condition and size duplicated inside description body; platform authentication boilerplate included per verbatim convention
L002,The RealReal,https://www.therealreal.com/products/women/clothing/dresses/staud-polka-dot-print-long-dress-wbj6a,2026-09-09,Staud Polka Dot Print Long Dress,"Staud Dress; Black; Polka Dot Print; Cutout & Mesh Accents; Sleeveless with Mock Neck; Concealed Zip Closure at Back
 Fit: Dresses by Staud typically fit true to size. Bust 30”; Waist 24.5”; Hip 32”; Length 61.75”; Gender Women; Fabric 67% Rayon, 29% Nylon, 4% Elastane; Combo 100% Polyamide
 Item # WSTFG119642",325.00,165.00,156.75,Excellent,,https://product-images.therealreal.com/WSTFG119642_1_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/WSTFG119642_2_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/WSTFG119642_3_enlarged.jpg?auto=webp&width=1920,"TRR structures measurements as separate fields rather than prose — same pattern as condition labels."""
L003,The RealReal,https://www.therealreal.com/products/women/clothing/dresses/sandy-liang-silk-midi-length-dress-w64wu,2026-09-09,Sandy Liang Silk Midi Length Dress,"Sandy Liang Silk Dress; Blue & White; Printed; Ruffle Embellishment; Long Sleeve with Mock Neck; Sash-Tie Closure at Front
  Fit: Dresses by Sandy Liang typically fit true to size.
 Bust
 25.25""
 Waist
 22.75""
 Hip
 32.25""
 Length
 44""
 Gender
 Women
 Fabric
 100% Silk; Lining 100% Polyester
 Item #
 SDY27471",480.00,355.00,284.00,Very Good,,https://product-images.therealreal.com/SDY27471_1_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/SDY27471_2_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/SDY27471_3_enlarged.jpg?auto=webp&width=1920,
L004,The RealReal,https://www.therealreal.com/products/women/clothing/skirts/dries-van-noten-floral-print-long-skirt-wg7o6,2026-09-09,Dries Van Noten Floral Print Long Skirt,"Dries Van Noten Skirt
  Purple
  Floral Print
  Zip & Button Closure
  Fit: Skirts by Dries Van Noten typically fit true to size.
 Waist
 27.75""
 Hip
 39""
 Length
 38.5""
 Gender
 Women
 Fabric
 50% Cotton, 50% Linen
 Item #
 DRI193609",,,925.00,Excellent,,https://product-images.therealreal.com/DRI193609_1_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/DRI193609_2_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/DRI193609_3_enlarged.jpg?auto=webp&width=1920,
L005,Poshmark,https://poshmark.com/listing/Johnny-Was-Sofiya-Primula-Burnout-Silk-Tunic-Dress-Blue-Floral-sz-Medium-NEW-6a957cad839f7a7a2e71b790,2026-09-09,Johnny Was Sofiya Primula Burnout Silk Tunic Dress Blue Floral sz Medium NEW,"Size
M
Condition
New With Tags
Color
Blue
Red
Category
Women
Dresses
Mini
Brand
Johnny Was
Bright blue tunic dress with vibrant floral and paisley print. Multicolored pattern with red, pink, green and yellow accents. Tie neckline and 3/4 sleeves with embroidered cuff detail. Lightweight and easy to wear. Bold, bohemian look.

Bust: 40”
Length:36”
Sleeve Length:17”

Tag Size:medium
Condition:new
Material:82% Rayon/18% Silk

Sku:1023",388.00,,178.00,New with tags,,https://di2ponv0v5otw.cloudfront.net/posts/2026/08/31/6a957cad839f7a7a2e71b790/l_wp_6a957cb04985e89c9473db98.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/31/6a957cad839f7a7a2e71b790/l_wp_6a957cb14941b51c6432faee.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/31/6a957cad839f7a7a2e71b790/l_wp_6a957cb28974d0ad90d96f72.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/31/6a957cad839f7a7a2e71b790/l_wp_6a957cb405ce5716084db88e.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/31/6a957cad839f7a7a2e71b790/l_wp_6a957cb54fcf261bd713b4e4.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/31/6a957cad839f7a7a2e71b790/l_wp_6a957cb6b9dd70aef0b1c144.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/31/6a957cad839f7a7a2e71b790/l_wp_6a957cb856502b89acc1d463.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/31/6a957cad839f7a7a2e71b790/l_wp_6a957cb9ad242aa02ce0843f.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/31/6a957cad839f7a7a2e71b790/l_wp_6a957cba221dcb65e5fdc85a.webp,all poshmark listings have MSRP and listing price
L006,Poshmark,https://poshmark.com/listing/Chanel-Brown-Tweed-Skirt-679519c715460044be476074,2026-09-09,Chanel Brown Tweed Skity,"Size
FR 40
Color
Brown
Category
Women
Skirts
Midi
Brand
CHANEL
Elegant Chanel tweed skirt. Features button details. Perfect for any occasion. Waist 29.5”. Hip 40.5”","2,500.00",,750.00,,,https://di2ponv0v5otw.cloudfront.net/posts/2025/01/25/679519c715460044be476074/l_67951a561df63662d164b9c2.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/01/25/679519c715460044be476074/l_67951a675af6e624d7769a74.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/01/25/679519c715460044be476074/l_67951a76c4b73a9ce9a2e964.jpg|https://di2ponv0v5otw.cloudfront.net/posts/2025/01/25/679519c715460044be476074/l_wp_679519d70e5172664a6b1a64.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/01/25/679519c715460044be476074/l_wp_679519d81546006caf476160.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/01/25/679519c715460044be476074/l_wp_679519d9c9af8c803b1965da.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/01/25/679519c715460044be476074/l_wp_679519da07ac557d82b9fae0.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/01/25/679519c715460044be476074/l_wp_679519dbd399ff6db93d51b8.webp,there was no condition listed here -- poshmark doesn't require a condition listed for a post
L007,eBay,https://www.ebay.com/itm/237040896776?itmmeta=01M23F4CQ477EW97MWAPF5S634&hash=item3730bd0b08:g:BWwAAeSwJ91qRO4L&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LupkOyEMOEU1z1iR7dZ05p%2FjuOK6Mv%2BOA9gmbhPbbIjPcK8U8%2FHJ%2FvPP9FhKlJgiWXIgsnFqFb%2Fmflheyi%2BqlwIoksmMwRqF%2FzM5KzjeUphq5KcK7EQVW5As2I5lKFLXLlifQmc4uDQ8psR3HwreG1Reb22N4zZf2C%2BufFgMGK270BA%2BtRDItfr8ZBcW7%2FqXGN1EIWVg3cr7h4zmEsEt--Qsz611e%2BfY0E2eEoLMmzBZre%2FkURyPsMQEmEOgGPKWhFjF6kyRS04W483%2Bro23aLXZ%7Ctkp%3ABFBM7MuR75Bo,2026-09-09,NEW $248 CITIZENS OF HUMANITY ZURIE STRAIGHT LEG JEANS IN SUTHERLAND SIZE 27,"Color wash is ""sutherland"". a dark blue with fade and whiskering details.
Retails for $248!!! 😲

SAMPLE. Being a SAMPLE the standard cloth/fabric tags are not attached (has garment operator tag). SAMPLES may have slight variances (more often not) such as inseam length, color, and fade details. Please see entire description including additional details, and all pictures, thank you!

New without tag with possible irregularities (or variances). There appears to be color wash irregularities on both side seams. We are not certain if these faint lighter lines are intentional or color mishap. Either way, these jeans look super cool and will continue to fade over time! Please see pictures, thank you. Open to reasonable offers.

The Zurie features a relaxed, straight-leg fit and a flattering high rise, styled in a gorgeous Sutherland color wash. These are seriously THE perfect go-to jeans for an easy, everyday look!

Additional details:
Five pocket styling
Front zipper fly fastening
Waist measures approximately 14.5"" across (flat surface)
Front Rise 11.0""
Inseam is 31.0""
Fabric tag is not attached and we don't know the content; has light/minimal stretch.
Machine washable.

Fabric and seams may be lightly dusty (not stained) from warehouse storage but nothing overt to note.

Condition
New with imperfections
Seller Notes
“Please see description and pictures, thank you!!! 🙂”
Pattern
Solid
Closure
Zip
Size
27
Waist Size
27 in
Garment Care
Machine Washable
Color
Blue
Fabric Type
Denim
Brand
Citizens of Humanity
Fit
Regular
Size Type
Regular
Department
Women
Type
Jeans
Pocket Type
5-Pocket Design
Style
Straight
Season
Fall, Spring, Summer, Winter
Country of Origin
United States",248.00,,128.00,New with imperfections,,https://i.ebayimg.com/images/g/BWwAAeSwJ91qRO4L/s-l1600.webp|https://i.ebayimg.com/images/g/DPAAAeSwwz5qRO4M/s-l1600.webp|https://i.ebayimg.com/images/g/5WsAAeSwmo9qRO4Q/s-l1600.webp|https://i.ebayimg.com/images/g/6CgAAeSwyUdqRO4Q/s-l1600.webp|https://i.ebayimg.com/images/g/G9oAAeSwtqBqRO4M/s-l1600.webp,
L008,Vinted,https://www.vinted.com/items/9943995726-free-people-sherpa-lined-denim-jacket?homepage_session_id=9a083ae2-78d8-4559-b03b-ec47bb05bb26,2026-09-09,Free People Sherpa Lined Denim Jacket,"I love this jacket. I just never wore it. It’s very warm. It runs true to size. The denim is super soft. The Sherpa is kind of thick so it leaves it a little bit puffy looking. The whole thing is Sherpa aligned, except for the insides of the arms. I took a picture with it buttoned up just so I could show you that the buttons are functional. Brand Free People 
Size
L / US 12-14
Condition
Very good
Material
Denim
Color
Light blue
Uploaded
31 min ago",,,89.95,Very Good,Frequent Uploads,https://images1.vinted.net/t/06_00f12_ag4pbrPhWcGCeoEkdzJy2mWr/f800/a842b1ec.webp?s=ce8ddacaa3859d8c85ee9444c63658439d443f10|https://images1.vinted.net/t/06_021d3_CxzG5RhrDFQNhZcYEoaK8Qc6/f800/fc5b4028.webp?s=03fe47ce0a3aa804f25853061b692afe81dc2bfb|https://images1.vinted.net/t/06_00893_kHovTtszD7UeaVihmQMMFEEZ/f800/90071a88.webp?s=5504ee1acd778468c67f21388d9744e2b25cd9c4|https://images1.vinted.net/t/06_02461_8Tad9ZPskUP4obZifodpLtAg/f800/e261eb85.webp?s=b766360a2360b449cc9b80150f2c7447be5eba1f|https://images1.vinted.net/t/02_011ec_qxiWYdv2kszp22aJyuMCzhkN/f800/e592020c.webp?s=a12a0c828824e24768173c5ddd29c64792f4172a|https://images1.vinted.net/t/02_01dd2_E66EGdPNsVwB9HsyrVagmW6e/f800/5d6c4d2e.webp?s=0f07ffea3bccb6dccbec2f501c149f8215eea81e|https://images1.vinted.net/t/02_00a50_45m83Pbko29bWEvYfd4td86U/f800/c2008a30.webp?s=099269a60d06a6e43060b71b144ef6c39ced4442|https://images1.vinted.net/t/04_01674_38tF5mswAeBEHSkam9p3RLJ3/f800/660fe967.webp?s=418ab267665b21ec3f49c56c1502ddfeb54276b9|https://images1.vinted.net/t/05_0211d_FnMmVcekBCvSrM22WHD3Duo2/f800/91ed5fa3.webp?s=0a503ce12b3fca85bbd6177d4e0b5817a0979b69|https://images1.vinted.net/t/02_022c3_CYANJb8EES2v89AsHfe4LQ6D/f800/112c52c3.webp?s=2b30868c5d75c2ee891da4e6dc1a91efb8582772|,allows for many more photos and includes the seller's listing price and then the official price buyers see is listing + shipping
L009,Vinted,https://www.vinted.com/items/9944417319-beaded-dress?homepage_session_id=f1b98e8a-252e-45e9-b6ea-21848ac28803,2026-09-09,Beaded Dress,"Hand beaded dress! Lime green. Size S. Brand Divali  Size
S / US 4-6
Condition
Good
Color
Green
Uploaded
7 min ago",,,16.45,Good,"Frequent Uploads
Speedy Shipping",https://images1.vinted.net/t/01_001af_R1qrmvxooGmPeaC2St5d7qCK/f800/3d83eae7.webp?s=2a1e8972b938d81d00b663cf049b1ce7cf97617c|https://images1.vinted.net/t/06_00f7b_tsn3en1U3q36TP3YKr9fBxSM/f800/94ce79f3.webp?s=32f24aa4189e2a2dabb6e6513a5cc584548401aa|https://images1.vinted.net/t/02_005a8_2yTwcSjXZg3U4LZgvVMRb9iZ/f800/66d8e4b7.webp?s=cee0b531e642e8a07bb261a7a26985c400c62e5e|https://images1.vinted.net/t/05_01247_WsuCf57iT8wRjexzxpouzkjF/f800/4cfe162f.webp?s=ca5e5cb2891ad7cf92202ba910ed5f73ceeb95fb|https://images1.vinted.net/t/01_01fd8_B2ZZ5chYtvHcbDqSyKb81TNY/f800/161f4cf6.webp?s=2267c4bbf57380a32e0bbe23d88a66656ee84b43|https://images1.vinted.net/t/02_00bc4_bvLBcJV2mkAPHCLnEYDcBTjc/f800/9057433c.webp?s=e010b56c80c35a64061212cfbf7807e77c9b2959|,"vinted seller reputations are badges they earn to show buyers then ship quickly, are on the platform often, etc. -- they have a lot of time based metrics included in the listings"
L010,Vinted,https://www.vinted.com/items/9859313744-burberry-trench-coat-us-size-6?referrer=catalog,2026-09-09,Burberry Trench Coat US size 6,"BrandBurberry
Size
S / US 4-6
Condition
Very good
Material
Cotton
Color
Brown, Beige
Uploaded
a week ago
Burberry Heritage Trench Coat in beautiful chestnut brown color and classic check lining. Size US 4 UK 6 IT 38. INCLUDES ORIGINAL GARMENT BAG; original price $2,850 from 2023 Collection",,,"1,050.70",Very Good,"Frequent Uploads
",https://images1.vinted.net/t/05_0076b_y3K5TVER7xmzNFL3fv8qrVyj/f800/112a29f4.webp?s=c30ecacedea2cf972e196b43dd256ab6c5da85d4|https://images1.vinted.net/t/05_02379_NtkzWJBpaBA4NarFKk4F8WUh/f800/562c6da9.webp?s=5a40980b237873e9a83eeeeb35839dda017e8214|https://images1.vinted.net/t/02_01413_heAbL8mNoYBNFSokq7tdCMrk/f800/ce4088ce.webp?s=d6ec6271592e2750281dbf0cb285b11c599f837f|https://images1.vinted.net/t/05_0152e_d9QQicHKsDyhTVL3hzsoViuc/f800/26c9d8da.webp?s=50e0961ece0598b245baefcbcca4942b406e8483|https://images1.vinted.net/t/01_00415_QsaLNZFAVTvGvUrxJ4r51Wfr/f800/c35053d4.webp?s=63f03ebcff0851d896c81adf21456281f68b2548|https://images1.vinted.net/t/01_009d4_RzbnVGwM1UMBvDDLRATUE8XF/f800/837f454f.webp?s=bce45f000f244dc2d7b0858c1f9083d56a758fa4|https://images1.vinted.net/t/03_00546_JV7TvBAA4ZAwcbfVZYYsc29V/f800/30fc7707.webp?s=7bd6765465c86281eff65fcf4f3cf9a9b84e27cd|https://images1.vinted.net/t/05_009d4_V4JjHGEGMDWs3W8KuRMwtNGx/f800/cfb90793.webp?s=387a585f9ac25b2bae8a1579d27fcb19c0594211|https://images1.vinted.net/t/06_00413_qb2iAcRMbNwRQPfpi4r8Thev/f800/bb21f775.webp?s=bcbb8efe2dcd27ef61caebb15a081e7317f0d1c4|,
